
Steven Elliott (Steve) Kerbel,Libertarian,0,0.000%
Rhett Rosenquest Smith,Libertarian,0,0.000%
Cecil Ince,Libertarian,0,0.000%
Marc Allan Feldman,Libertarian,0,0.000%
Uncommitted,Libertarian,1,100.000%
,Party Total:,1,
,,,
Uncommitted,Constitution,0,0.000%
,Total Votes:,"2,461",
,,,

U.S. President,,,7 of 7 Precincts Reported
Hillary Clinton,Democratic,138,48.592%
Henry Hewes,Democratic,3,1.056%
"Roque ""Rocky"" De La Fuente",Democratic,0,0.000%
Bernie Sanders,Democratic,142,50.000%
Keith Judd,Democratic,0,0.000%
Willie L. Wilson,Democratic,0,0.000%
Martin J. O'Malley,Democratic,0,0.000%
John Wolfe,Democratic,0,0.000%
Jon Adams,Democratic,0,0.000%
Uncommitted,Democratic,1,0.352%
,Party Total:,284,
,,,
Chris Christie,Republican,3,0.258%
Jeb Bush,Republican,4,0.344%
Ben Carson,Republican,6,0.515%
Donald J. Trump,Republican,623,53.522%
Marco Rubio,Republican,50,4.296%
Ted Cruz,Republican,404,34.708%
Rick Santorum,Republican,2,0.172%
Carly Fiorina,Republican,0,0.000%
John R. Kasich,Republican,59,5.069%
Rand Paul,Republican,2,0.172%
Jim Lynch,Republican,0,0.000%
Mike Huckabee,Republican,9,0.773%
Uncommitted,Republican,2,0.172%
,Party Total:,"1,164",
,,,
Austin Petersen,Libertarian,0,0.000%
Steven Elliott (Steve) Kerbel,Libertarian,1,50.000%
Rhett Rosenquest Smith,Libertarian,1,50.000%
Cecil Ince,Libertarian,0,0.000%
Marc Allan Feldman,Libertarian,0,0.000%
Uncommitted,Libertarian,0,0.000%
,Party Total:,2,
,,,
Uncommitted,Constitution,0,0.000%
,Total Votes:,"1,450",
,,,

U.S. President,,,47 of 47 Precincts Reported
Hillary Clinton,Democratic,"3,765",46.834%
Henry Hewes,Democratic,11,0.137%
"Roque ""Rocky"" De La Fuente",Democratic,2,0.025%
Bernie Sanders,Democratic,"4,185",52.059%
Keith Judd,Democratic,1,0.012%
Willie L. Wilson,Democratic,5,0.062%
Martin J. O'Malley,Democratic,7,0.087%
John Wolfe,Democratic,4,0.050%
Jon Adams,Democratic,5,0.062%
Uncommitted,Democratic,54,0.672%
,Party Total:,"8,039",
,,,
Chris Christie,Republican,33,0.187%
Jeb Bush,Republican,52,0.294%
Ben Carson,Republican,161,0.911%
Donald J. Trump,Republican,"6,886",38.968%
Marco Rubio,Republican,"1,064",6.021%
Ted Cruz,Republican,"7,671",43.410%
Rick Santorum,Republican,16,0.091%
Carly Fiorina,Republican,14,0.079%
John R. Kasich,Republican,"1,648",9.326%
Rand Paul,Republican,30,0.170%
Jim Lynch,Republican,4,0.023%
Mike Huckabee,Republican,33,0.187%
Uncommitted,Republican,59,0.334%
,Party Total:,"17,671",
,,,
Austin Petersen,Libertarian,27,40.909%
Steven Elliott (Steve) Kerbel,Libertarian,8,12.121%
Rhett Rosenquest Smith,Libertarian,2,3.030%
Cecil Ince,Libertarian,0,0.000%
Marc Allan Feldman,Libertarian,6,9.091%
Uncommitted,Libertarian,23,34.848%
,Party Total:,66,
,,,
Uncommitted,Constitution,17,100.000%
,Total Votes:,"25,793",
,,,

U.S. President,,,10 of 10 Precincts Reported
Hillary Clinton,Democratic,332,47.025%
Henry Hewes,Democratic,1,0.142%
"Roque ""Rocky"" De La Fuente",Democratic,0,0.000%
Bernie Sanders,Democratic,361,51.133%
Keith Judd,Democratic,0,0.000%
Willie L. Wilson,Democratic,0,0.000%
Martin J. O'Malley,Democratic,2,0.283%
